City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Datetime
362,great yarmouth,52.6083,1.7305,36.45,88,99,1.72,GB,1675649146,2023-02-06 02:05:46
363,karaman,37.0833,33.25,29.93,98,94,5.53,TR,1675649146,2023-02-06 02:05:46
364,trondheim,63.4305,10.3951,37.49,91,100,5.44,NO,1675649147,2023-02-06 02:05:47
365,timizart,36.8,4.2667,48.67,90,99,1.54,DZ,1675649003,2023-02-06 02:03:23
366,pilar,-9.5972,-35.9567,73.33,91,24,2.82,BR,1675649147,2023-02-06 02:05:47
367,guarapari,-20.6667,-40.4975,79.9,90,32,7.07,BR,1675649148,2023-02-06 02:05:48
368,para de minas,-19.8603,-44.6083,68.38,87,77,1.39,BR,1675649148,2023-02-06 02:05:48
369,morros,-9.4467,-46.3003,75.79,59,60,1.88,BR,1675649148,2023-02-06 02:05:48
370,lodja,-3.4833,23.4333,67.28,93,100,2.89,CD,1675649149,2023-02-06 02:05:49
371,coos bay,43.3665,-124.2179,47.14,93,100,11.5,US,1675648983,2023-02-06 02:03:03
372,kadoma,34.7333,135.5833,49.64,61,75,3.44,JP,1675649149,2023-02-06 02:05:49
373,progreso,21.2833,-89.6667,73.51,71,31,13.69,MX,1675649149,2023-02-06 02:05:49
374,tuatapere,-46.1333,167.6833,64.33,64,92,11.36,NZ,1675649150,2023-02-06 02:05:50
375,ketchikan,55.3422,-131.6461,37.87,87,100,20.71,US,1675649130,2023-02-06 02:05:30
376,svetlogorsk,52.6333,29.7333,20.19,94,95,7.0,BY,1675649150,2023-02-06 02:05:50
377,millinocket,45.6573,-68.7098,17.71,62,100,0.0,US,1675649152,2023-02-06 02:05:52
378,north bend,43.4065,-124.2243,47.07,93,100,11.5,US,1675649073,2023-02-06 02:04:33
379,xining,36.6167,101.7667,25.81,51,77,1.97,CN,1675649152,2023-02-06 02:05:52
380,nyurba,63.2842,118.3319,-46.3,99,73,4.32,RU,1675649152,2023-02-06 02:05:52
381,tigil,57.8,158.6667,-0.62,91,98,3.94,RU,1675649153,2023-02-06 02:05:53
382,requena,39.4883,-1.1004,34.52,72,1,2.19,ES,1675649153,2023-02-06 02:05:53
383,nandi hills,0.1066,35.1838,53.17,61,3,4.14,KE,1675649153,2023-02-06 02:05:53
384,frontera,26.9333,-101.45,63.91,33,0,2.13,MX,1675649154,2023-02-06 02:05:54
385,waddan,29.1614,16.139,48.34,88,53,6.71,LY,1675649154,2023-02-06 02:05:54
386,zinder,13.8072,8.9881,71.87,19,54,10.38,NE,1675649154,2023-02-06 02:05:54
387,upington,-28.4478,21.2561,70.18,88,0,3.44,ZA,1675649155,2023-02-06 02:05:55
388,hay river,60.8156,-115.7999,-2.22,78,100,16.11,CA,1675649155,2023-02-06 02:05:55
389,talnakh,69.4865,88.3972,2.21,98,100,2.19,RU,1675649155,2023-02-06 02:05:55
390,bronnoysund,65.4625,12.1997,39.2,87,100,18.41,NO,1675649156,2023-02-06 02:05:56
391,tieli,46.95,128.05,3.78,88,84,3.69,CN,1675649156,2023-02-06 02:05:56
392,acarau,-2.8856,-40.12,76.89,88,53,8.46,BR,1675648889,2023-02-06 02:01:29
393,takoradi,4.8845,-1.7554,79.18,89,90,8.23,GH,1675649156,2023-02-06 02:05:56
394,vuktyl,63.8567,57.3094,-6.36,100,98,3.18,RU,1675649157,2023-02-06 02:05:57
395,teguldet,57.3064,88.1667,-14.31,100,100,2.66,RU,1675649157,2023-02-06 02:05:57
396,komsomolskiy,40.4272,71.7189,38.12,93,100,2.3,UZ,1675649157,2023-02-06 02:05:57
397,irati,-25.4672,-50.6511,62.46,74,90,0.98,BR,1675649158,2023-02-06 02:05:58
398,hualmay,-11.0964,-77.6139,72.39,83,46,6.29,PE,1675649158,2023-02-06 02:05:58
399,gallup,35.5281,-108.7426,46.24,29,0,17.27,US,1675649159,2023-02-06 02:05:59
400,chara,56.9064,118.2631,-9.67,97,100,2.13,RU,1675649159,2023-02-06 02:05:59
401,codrington,-38.2667,141.9667,66.25,58,79,9.86,AU,1675649159,2023-02-06 02:05:59
402,tessalit,20.1986,1.0114,65.37,11,0,7.34,ML,1675648945,2023-02-06 02:02:25
403,photharam,13.6923,99.8497,85.93,61,4,3.98,TH,1675649160,2023-02-06 02:06:00
404,rantepao,-2.9701,119.8978,80.76,56,93,1.59,ID,1675649161,2023-02-06 02:06:01
405,mao,39.8885,4.2658,52.36,62,75,19.57,ES,1675649040,2023-02-06 02:04:00
406,synevyr,48.4875,23.6258,12.42,95,37,5.66,UA,1675649161,2023-02-06 02:06:01
407,mirnyy,62.5353,113.9611,-44.77,64,67,1.99,RU,1675649161,2023-02-06 02:06:01
408,vostok,46.4856,135.8833,6.98,78,61,4.85,RU,1675649162,2023-02-06 02:06:02
